sum.taxonomy	CO1_Yell.July18.Site1J.S99	CO1_Yell.July18.Site1L.S101	CO1_Yell.July18.Site1U.S114	CO1_Yell.July18.Site1a.S83	CO1_Yell.July18.Site1b.S84	CO1_Yell.July18.Site1bb.S139	CO1_Yell.July18.Site1c.S85	CO1_Yell.July18.Site1cc.S140	CO1_Yell.July18.Site1d.S86	CO1_Yell.July18.Site1dd.S141	CO1_Yell.July18.Site1e.S91	CO1_Yell.July18.Site1ee.S142	CO1_Yell.July18.Site1f.S92	CO1_Yell.July18.Site1g.S93	CO1_Yell.July18.Site1h.S94	CO1_Yell.July18.Site1k.S100	CO1_Yell.July18.Site1m.S102	CO1_Yell.July18.Site1n.S103	CO1_Yell.July18.Site1o.S104	CO1_Yell.July18.Site1p.S105	CO1_Yell.July18.Site1q.S106	CO1_Yell.July18.Site1r.S111	CO1_Yell.July18.Site1s.S112	CO1_Yell.July18.Site1t.S113	CO1_Yell.July18.Site1v.S117	CO1_Yell.July18.Site1w.S118	CO1_Yell.July18.Site1y.S120	CO1_Yell.July18.Site1z.S129	CO1_Yell.July18.Site5L.S109	CO1_Yell.July18.Site5a.S87	CO1_Yell.July18.Site5aa.S132	CO1_Yell.July18.Site5b.S88	CO1_Yell.July18.Site5bb.S133	CO1_Yell.July18.Site5c.S89	CO1_Yell.July18.Site5cc.S134	CO1_Yell.July18.Site5e.S95	CO1_Yell.July18.Site5ee.S136	CO1_Yell.July18.Site5f.S96	CO1_Yell.July18.Site5ff.S137	CO1_Yell.July18.Site5g.S97	CO1_Yell.July18.Site5h.S98	CO1_Yell.July18.Site5k.S108	CO1_Yell.July18.Site5m.S110	CO1_Yell.July18.Site5n.S115	CO1_Yell.July18.Site5o.S116	CO1_Yell.July18.Site5p.S121	CO1_Yell.July18.Site5q.S122	CO1_Yell.July18.Site5r.S123	CO1_Yell.July18.Site5s.S124	CO1_Yell.July18.Site5t.S125	CO1_Yell.July18.Site5u.S126	CO1_Yell.July18.Site5v.S127	CO1_Yell.July18.Site5z.S131	CO1_Yell.July18.Site5J.S107	CO1_Yell.July18.Site5w.S128
;NA;;NA;;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique	0	0	1	0	1	0	2	1	0	0	0	44	0	0	0	0	0	0	0	1	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Megascolecidae;Amynthas;Amynthas sp. YN201102-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Megascolecidae;Metaphire;Metaphire tecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;NA;;	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Eukaryota;Annelida;Clitellata;Haplotaxida;Naididae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
Eukaryota;Annelida;NA;;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Capitella;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Capitella;Capitella neoaciculata	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
