18S_Euk_seq_number	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5f-S96
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae	0	0	30	17	0	0	17	1	1	1	0	104	0	3	1	0	0	0	0	0	0	4	2	0	1	6	0	1	0	5	1	0	0	0	4	0	3	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	7	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	519	57	1043	411	152	27	478	83	224	450	120	4	461	435	1213	17	3	0	415	685	555	53	375	216	117	303	0	488	73	720	712	0	1152	274	942	0	296	856	0	241	119	82	1983	121	630	136	28	1605	65	37	59	125	143	4139	2
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;Paracalanus parvus	80	11427	29832	1793	790	1438	3332	1419	5093	21309	12096	32	4637	8	11539	3365	16	1	3793	107	18013	1020	11180	3828	19238	35004	10	9955	1060	2446	6926	0	15241	126	1998	0	7309	5416	0	8431	8756	79	8662	33096	10886	675	120	10123	8753	1186	8110	1342	5041	403	7
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium	2445	8069	2075	1754	602	167	1091	227	712	896	8563	3	1836	1597	2177	2760	5	2	2555	2996	2525	6796	2858	857	374	10889	28	3491	576	582	1143	0	6905	999	2355	0	1231	2466	1	793	5693	22023	1816	9149	7110	1571	3039	3170	4010	568	6282	1017	24936	1816	80
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	324	108	1485	415	97	23	307	42	122	259	251	1	390	229	577	17	2	0	233	26	219	105	369	245	142	511	0	486	59	233	349	0	142	386	560	0	193	610	0	228	27	163	633	56	518	68	240	1409	87	288	1228	76	154	367	4
Eukaryota;NA;Cryptophyceae;NA;NA;NA;Cryptophyta sp. CR-MAL04	128	51	1224	258	129	23	182	20	88	253	85	6	397	118	467	10	1	0	103	157	143	27	356	205	179	127	1	611	43	156	287	0	62	161	383	0	276	509	0	167	11	60	429	36	166	35	16	806	29	2	44	20	58	836	3
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Komagataella	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Melosiraceae;Melosira;Melosira dubia	10818	4545	66530	10265	2295	1752	9613	2392	8845	3584	14243	23	3565	8695	4782	1175	102	1	6849	1808	8394	2744	6058	25488	3366	2545	55	20536	2264	10973	7514	0	3714	7849	5524	0	10200	10678	0	6454	9243	524	20775	3782	4737	3411	343	26325	3016	3438	13326	4902	655	3259	39
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Melicertidae;Melicertum;Melicertum octocostatum	71	40	408	62	1	2	11	5	21	6	125	32	31	54	10	155	1	0	947	13	8	224	74	123	1	166	1	103	14	21	87	0	35	2	8	0	16	10	0	168	14	24	15	34	84	21	3	32	26	25	23	26	41	39	2
Eukaryota;Ciliophora;Spirotrichea;NA	6533	3480	8038	7190	4929	616	4554	291	1077	3558	4248	23	7293	4884	8612	1613	23	2	4005	5655	5223	1800	11362	2619	2358	7228	28	13160	1109	3314	5585	0	10115	4192	11877	0	6528	10406	1	5005	5242	4326	8183	2773	7952	4003	1532	14024	2509	1115	11930	1106	6425	11921	89
Eukaryota;Cercozoa;Thecofilosea;Cryomonadida;Rhogostomidae;Rhogostoma;Rhogostoma schuessleri	2608	284	992	330	77	52	140	105	340	99	375	3	560	2176	94	57	1	0	2241	124	81	623	557	699	62	1235	10	788	70	205	249	0	725	120	95	0	391	115	1	1447	1058	250	240	1020	779	1356	28	302	210	529	384	663	446	611	10
Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	404	76	5436	7303	3950	678	5622	607	2050	2589	402	31	9335	319	4098	1029	17	0	308	2880	4264	146	11131	1420	4289	1859	1	8557	3134	3407	5464	0	12176	3635	13135	0	3164	6456	0	2898	3885	309	14933	191	1912	1456	792	11048	53	3041	9397	115	373	15766	18
Eukaryota;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas aestivalis	49	9	42	10	3	3	15	6	20	2	16	1	18	40	6	3	0	0	45	22	5	17	23	8	28	23	0	19	1	8	7	0	31	4	13	0	17	23	0	23	10	7	22	14	50	16	2	19	6	2	3	15	21	32	2
Eukaryota;Cercozoa;Thecofilosea;NA;Ebriacea;Ebria;Ebria tripartita	106	5	106	106	33	9	27	26	70	94	44	1	130	82	371	6	1	0	116	2	22	22	175	51	6	199	0	68	13	158	457	0	3000	32	757	0	88	314	0	113	1048	12	541	42	289	94	8	601	5	24	14	61	0	348	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae;Corycaeus;Corycaeus speciosus	5	29	1261	3053	0	8	277	136	388	1233	0	11	0	0	1012	30	0	0	1214	6	14	0	707	0	518	2	1	5	10	319	1	0	370	0	55	0	3386	1	0	477	0	1083	793	0	544	65	194	4588	267	66	393	0	33	1116	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Temoridae	17	416	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	561	1	0	0	0	0	0	0	0	0	0	0
Archaea;Candidatus Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;Candidatus Thalassarchaeaceae;Candidatus Thalassarchaeum;Candidatus Thalassoarchaea mediterranii	1604	483	7305	1830	438	83	1787	298	738	968	1197	6	3153	1157	3033	422	8	1	1282	463	3101	562	1201	956	710	1619	2	2307	834	1412	2515	0	2210	1701	4597	0	1280	4217	0	1262	1467	774	5680	405	1933	1560	756	10492	523	993	7613	224	796	4999	24
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	8388	17268	112	3526	2051	0	888	399	1348	3064	9440	13	30	5955	7013	4767	1	26	10618	10173	1191	23239	2546	45	1111	5062	70	22212	2259	55	1239	0	26233	20	2451	0	289	23	0	26333	977	67917	4735	29816	21520	2044	8898	26	9577	103	14387	2132	41985	9224	552
Eukaryota;Rhodophyta;Florideophyceae	454	52	503	184	15	77	79	120	406	79	132	3	310	367	161	3	1	0	558	16	83	39	449	235	26	438	3	1043	89	305	134	0	102	85	83	0	79	208	0	359	260	87	2512	94	522	374	11	159	19	148	67	133	47	614	4
Eukaryota;Arthropoda;Hexanauplia	55	4070	3093	1094	8692	1638	13309	689	2416	25969	19983	5	8925	38	26	2325	27	2	114	5125	8593	392	20043	593	7371	170	6	1416	2908	2183	4756	0	6225	3314	11796	0	11415	3256	2	1876	3472	930	5173	8609	1016	3177	1324	1096	137	5298	13514	141	102	13213	537
