CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site5a-S87
Unassigned	6053	8578	4741	29593	3051	10690	8703	3709	10402	663	8455	6806	769	3925	1789	3390	8257	4022	13301	37946	6266	5590	2518	998	1236	7191	13329	3148	10616	12597	12056	1	2063	2540	7183	31172	2919	6144	12871	9379	12975	2521	10028	6850	24863	8255	371	477	6677	1	4398	19422	11326	1224	3278
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla	1289	872	964	2163	517	1363	1046	273	1668	41	387	1592	88	255	129	713	1337	834	968	5810	443	632	88	18	105	1366	2326	193	918	2163	1434	0	276	200	243	1765	195	362	2709	943	892	339	1034	646	3207	785	2	52	423	0	566	496	1830	162	340
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	747	408	502	1129	315	782	848	149	1048	26	257	664	31	209	75	383	1223	502	458	3066	222	413	79	14	70	577	1586	157	488	1342	1062	1	167	76	157	808	84	190	1315	540	421	319	570	382	1256	349	1	14	229	0	261	314	1082	89	582
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella verruculosa	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora membranacea	48	14	24	2	8	43	23	20	85	2	12	57	4	49	14	24	2	4	5	232	8	54	1	0	8	5	7	27	2	13	64	0	0	6	41	1	0	1	15	208	7	14	24	5	8	18	0	0	1	0	1	22	12	2	0
Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	8	0	4	0	6	40	20	0	43	0	0	25	4	6	3	11	9	14	4	38	0	7	0	0	2	40	11	2	1	11	31	0	0	0	5	0	0	0	81	17	0	4	1	0	17	11	0	0	2	0	3	2	20	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella sp. GWS-2013b	0	0	4	0	3	5	0	0	1	0	0	5	2	2	2	4	1	0	3	1	0	3	1	0	1	0	0	3	2	4	3	0	0	0	15	1	0	0	1	1	0	1	0	0	3	3	0	0	0	0	0	0	1	0	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013	4	4	0	5	0	3	1	3	2	0	13	4	2	3	0	0	25	0	3	3	1	0	6	0	2	15	3	0	5	12	4	0	0	1	1	10	0	4	0	11	0	0	14	1	12	5	0	0	0	0	0	66	5	0	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia	3	11	226	3	17	21	2	1	159	0	2	3	1	6	13	4	0	5	54	201	7	4	0	0	4	4	8	14	4	2	292	0	3	0	3	18	11	1	6	36	4	0	62	7	35	1	0	2	18	0	4	20	10	2	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	4	4	1	32	0	6	3	0	12	0	0	6	1	1	0	2	2	4	0	51	0	0	0	0	0	2	8	1	5	7	5	0	4	0	3	7	0	1	5	10	2	2	2	1	6	6	0	1	0	0	5	0	2	0	0
