CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site5c-S89
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	4252	1517	10126	0	216	2411	3123	622	3342	616	935	3268	782	1186	574	3324	756	164	3523	236	403	1	1162	3632	1177	4337	1546	1214	2168	107	1145	3222	138	1314	1070	1427	39	1432	83	2600	739	1607	477	2257	508	2022	1	1361	775	312	870	2052	80	415	294
Unassigned	2801	1971	7274	0	1101	5365	2752	1305	1563	3205	415	2646	768	4983	1023	2349	2825	1320	9720	197	2819	364	2700	4848	4888	3641	1297	1564	4235	348	879	3149	935	4506	1071	1119	404	938	70	1914	1259	1684	280	1231	306	1395	0	249	972	554	789	2154	46	982	537
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla	5034	2276	13529	0	443	3383	3826	554	3204	832	829	4994	1408	2298	1091	3309	1125	202	6862	267	455	4	1897	5766	1835	5194	2121	1469	3902	257	1632	4313	195	1803	1417	2001	38	1930	158	2677	813	2044	428	2939	661	3246	0	801	1011	408	1127	3503	88	639	481
Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	30	1	75	1	0	89	108	10	21	1	11	2	4	16	1	69	2	0	45	4	14	0	1	193	0	29	15	20	6	15	26	59	5	25	1	2	1	42	0	39	0	37	4	21	1	81	0	2	4	8	16	56	0	0	1
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera robusta	243	4	2854	0	0	1	135	4079	151	8	91	0	0	0	0	88	2	0	0	1044	14	0	0	95	0	170	13	236	2122	25	0	636	7	31	4	0	3	65	0	578	0	223	1936	94	0	207	0	0	0	13	15	9	438	0	5
Eukaryota;NA;Dictyochophyceae;Dictyochales;NA;Dictyocha;Dictyocha speculum	56	10	41	0	0	148	143	3	41	1	19	170	11	32	10	177	7	2	165	11	5	0	1	136	5	60	30	18	28	14	74	61	6	51	11	12	1	109	4	129	2	28	8	32	9	161	1	4	6	5	10	69	3	1	3
Eukaryota;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax	3	0	0	0	0	8	10	0	2	2	1	0	0	2	0	3	0	0	3	0	4	0	0	10	1	1	0	2	0	1	0	1	1	1	0	0	0	2	0	0	0	1	0	8	0	1	0	0	0	2	3	3	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus wailesii	43	28	149	0	4	1	0	13	117	0	41	82	0	323	5	0	100	12	2	0	14	0	23	0	3	118	5	1	18	5	0	11	1	102	56	0	0	0	0	92	21	79	1	27	0	30	0	0	114	0	1	38	0	1	7
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella verruculosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora membranacea	62	45	755	0	12	215	339	159	15	32	166	2	3	15	49	261	153	2	37	35	159	1	25	57	28	92	123	176	30	11	91	49	14	157	130	2	3	14	0	107	64	504	78	109	0	47	0	1	5	4	49	211	7	145	50
