CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5ff-S137
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	391	586	398	446	1068	3092	1937	130	1521	1441	9603	196	2126	156	1	1310	3052	1461	737	4103	3302	585	2966	276	1116	1339	4035	218	1122	1140	1013	2274	1210	893	98	737	3455	1104	0	1909	291	76	2447	3193	702	731	548	75	1358	822	1	480	3092	35	2061
Unassigned	3144	2741	1458	983	1443	6825	3240	1020	2735	3498	13963	1513	2031	1850	368	630	4772	2029	1430	5467	14385	4390	4742	966	6649	2088	4403	546	8497	2429	2043	6758	5606	853	481	2110	6691	5016	0	2486	691	142	3883	2689	1923	5524	2075	213	1651	1136	1	765	4448	529	7108
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla	434	519	590	412	1539	4788	3330	185	1968	2138	12996	420	2808	179	3	747	4085	1995	1318	4926	6286	802	3628	449	1762	1917	4764	256	2059	1398	1364	3149	1719	754	238	959	5397	1820	0	3084	380	149	2519	3041	780	1083	1040	87	1828	1082	0	634	3153	38	3697
Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	10	10	0	3	26	1	50	4	33	1	70	0	20	0	0	2	56	13	4	24	37	1	102	1	0	2	29	3	13	18	0	82	22	10	14	3	182	1	1	75	6	0	39	19	0	2	1	0	39	14	0	0	65	1	4
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera robusta	11	3042	0	1431	0	0	8	7	173	4	2089	0	67	0	0	0	475	12	0	120	0	8	101	5	0	0	174	811	0	172	3	1	24	65	16	0	71	0	0	136	9	0	402	111	0	0	0	311	51	13	0	0	68	3	2087
Eukaryota;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax	3	0	0	0	0	0	2	1	1	0	0	0	8	0	0	0	1	0	0	1	2	1	10	0	1	0	3	0	2	2	0	8	1	1	1	0	10	0	0	1	2	0	0	2	0	0	0	0	2	3	0	0	3	0	0
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella verruculosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora membranacea	126	105	132	55	64	2	148	11	462	45	665	12	88	1	0	1	33	83	2	58	29	28	244	1	24	2	50	32	11	143	11	145	91	138	8	3	34	25	0	28	3	0	75	9	60	46	37	5	11	38	0	0	174	1	5
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	3	4	0	2	3	48	10	1	17	4	100	0	5	0	0	0	9	1	7	14	8	4	23	0	4	6	18	0	2	0	3	10	10	5	3	0	12	5	0	8	0	3	14	9	1	2	0	0	10	0	0	6	7	0	11
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;NA;Chironomidae sp. BOLD-2016	5	12	0	3	9	0	16	2	8	0	149	0	0	0	0	0	5	6	0	3	1	0	65	0	0	0	1	0	0	3	0	21	5	2	1	0	4	0	0	5	0	0	4	3	0	0	8	1	4	5	0	0	29	0	0
Eukaryota;Mollusca;Bivalvia;Veneroida;Tellinidae;Macoma;Macoma nasuta	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	1	0	0	5	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae	1	0	0	0	1	2	4	0	1	0	1	1	4	0	0	0	2	3	0	9	5	1	5	0	0	0	2	0	1	1	0	13	6	0	1	0	17	0	0	4	2	0	1	1	0	0	0	0	3	2	0	0	15	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	2	2	4	1	9	90	6	1	4	27	12	2	14	1	0	5	7	8	10	12	100	5	15	2	15	22	19	1	53	1	17	19	13	2	3	30	17	18	0	18	8	1	14	28	7	12	4	0	13	2	0	6	14	0	19
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella sp. GWS-2013b	4	33	0	6	5	1	8	1	2	0	6	0	2	1	0	0	4	6	0	10	5	1	1	0	0	2	2	3	15	5	0	13	6	3	9	1	4	0	0	1	0	0	2	3	1	0	0	1	1	4	0	0	11	0	2
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. Hel1_33_78	0	0	4	0	1	0	0	1	2	0	7	0	0	0	0	1	0	2	1	1	27	0	1	0	6	1	3	0	10	0	5	0	0	0	1	0	1	5	0	0	0	0	0	1	0	3	3	0	0	0	0	0	3	0	4
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus tenuis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013	3	1	5	0	0	10	33	3	19	291	4	2	5	14	0	0	18	0	0	27	37	4	2	2	0	16	10	3	9	2	22	12	18	2	4	0	8	17	0	65	0	0	3	56	26	146	4	0	1	4	0	6	10	0	24
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium sp. RS-24	3	0	0	0	1	5	4	1	2	1	0	0	1	1	0	1	5	0	1	4	3	1	5	0	0	1	2	1	2	0	0	1	2	1	1	0	7	1	0	1	2	0	1	4	0	0	1	0	3	0	0	0	7	0	2
Eukaryota;Arthropoda;Maxillopoda;Sessilia	25	9	4	29	12	9	18	30	161	100	3528	7	7	1	0	8	110	429	15	10	67	8	620	24	13	18	35	19	103	12	35	161	2	3	1	33	17	21	0	9	2	6	5	3	10	54	125	5	81	53	0	4	613	1	223
Eukaryota;NA;NA;Himatismenida;NA;Parvamoeba;Parvamoeba rugata	14	23	25	2	13	18	17	2	65	39	116	5	3	6	0	3	11	18	8	15	53	19	27	3	15	0	6	2	31	12	19	52	6	3	2	11	11	22	0	8	0	0	13	5	10	35	20	2	2	6	0	0	27	0	44
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus exasperatus	10	26	73	10	24	62	21	1	51	27	0	43	12	83	0	2	26	19	8	25	236	124	28	7	138	23	10	15	59	28	19	48	11	2	1	7	19	32	0	7	0	5	14	39	17	26	25	0	1	11	0	25	49	4	58
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella splendens	0	21	0	3	12	0	7	0	19	12	0	0	11	2	0	0	13	3	0	11	13	10	18	0	1	1	3	1	0	59	1	9	5	1	1	2	6	5	0	4	0	0	1	9	3	13	0	2	10	9	0	0	19	0	26
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella	2	2	0	1	14	0	5	4	15	9	0	0	2	2	0	0	11	6	0	0	12	8	15	0	6	0	6	0	3	19	0	24	1	0	1	0	3	0	0	15	0	0	8	6	1	5	0	1	2	4	0	0	24	0	9
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Maculaura;Maculaura oregonensis	2	5	13	3	7	0	84	0	17	2	0	3	3	0	0	0	59	4	1	30	14	8	45	0	3	0	34	0	1	4	11	59	24	15	1	1	23	16	0	0	1	0	66	7	19	15	0	0	13	23	0	0	29	0	4
Eukaryota;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis edentata	0	0	1	0	3	0	4	1	29	1	0	1	4	1	0	0	3	5	0	7	4	0	18	1	0	0	4	1	10	3	1	6	0	1	2	1	2	3	0	3	1	0	6	10	1	1	5	0	2	1	0	1	17	0	4
Eukaryota;NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia haitanensis	1	0	0	0	1	3	0	0	1	1	3	0	0	1	0	0	2	0	2	1	9	0	0	1	0	0	2	0	4	0	3	1	0	1	1	1	0	3	0	0	0	0	7	0	1	1	0	0	0	0	0	0	2	0	4
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia californiensis	181	370	1332	110	0	13447	17	2	2492	2456	632	687	1229	294	3	620	721	517	724	667	4198	261	49	1277	8131	7923	1646	134	1800	318	3479	24	955	301	0	2905	1490	1305	0	441	108	153	1351	1935	5725	10542	2523	6	27	458	0	202	3688	538	12074
Eukaryota;Mollusca;Polyplacophora;Neoloricata;Mopaliidae;Mopalia;Mopalia muscosa	0	0	40	0	1	0	0	0	0	312	0	3	0	118	0	0	6	0	0	2	2	0	0	0	0	0	4	0	0	0	0	3	2	50	0	0	15	0	0	0	0	0	0	1	2	0	19	0	4	1	0	0	1	1	1
Eukaryota;Echinodermata;Echinoidea;Echinoida;Strongylocentrotidae;Strongylocentrotus;Strongylocentrotus droebachiensis	1	1	0	11	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	3	0	6	0	0	0	2	0	0	6	0	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema japonicum	0	0	0	1	0	13	0	1	4	1	5	0	1	0	0	0	3	0	2	1	1	0	3	0	1	3	3	0	2	0	0	1	0	1	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	3	0	2
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Centropagidae;Centropages;Centropages abdominalis	45	35	0	0	0	0	0	0	135	0	485	0	0	0	0	0	0	0	0	0	0	0	1	240	0	0	0	0	0	70	0	1	0	141	0	0	0	33	0	0	0	0	0	0	57	3	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Lacunidae;Lacuna;Lacuna vincta	0	157	6	18	0	0	4	0	107	0	13	0	5	2	0	0	4	0	0	3	0	96	166	1	0	0	1	2	13	3	0	2	0	50	0	0	2	0	0	0	1	0	7	0	0	3	0	0	103	7	0	0	117	2	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	0	1	9	0	5	191	6	0	1	174	0	4	0	2	0	14	5	1	29	3	111	17	4	18	48	41	3	2	34	2	93	5	6	7	0	15	2	44	0	2	0	1	21	27	30	12	6	0	9	1	0	4	15	0	49
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;Formosa sp. Hel3_A1_48	12	1	0	0	2	0	4	3	0	1	6	0	8	3	0	0	8	4	1	8	20	0	5	0	2	1	4	0	5	0	1	1	0	1	0	0	21	1	0	2	0	0	3	0	0	0	0	0	0	1	0	0	2	0	2
Eukaryota;Mollusca;Gastropoda;NA;Margaritidae;Margarites;Margarites pupillus	71	10	0	5	2	0	15	7	50	60	3	0	23	0	0	0	602	16	0	24	2	0	17	0	1	5	4662	0	0	727	0	23	16	3	0	1	38	0	0	9	3	0	47	17	0	0	0	0	5	8	0	0	18	0	3
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus polymorphus	3	6	0	2	2	0	12	0	2	0	0	1	10	0	0	0	44	8	0	52	8	1	10	0	0	0	9	0	0	13	1	0	8	6	0	0	61	1	0	0	1	0	9	6	0	3	0	0	1	8	0	0	1	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Oxydromus;Oxydromus pugettensis	0	0	0	0	0	0	0	1	3	2	0	2	0	1	0	0	0	0	1	0	0	1	0	1	0	0	2	0	99	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis bicanaliculata	9	19	0	2	1	0	15	1	9	0	137	4	7	4	0	0	1	2	1	7	42	7	77	0	24	0	6	2	38	8	2	5	1	3	0	0	2	3	0	19	0	0	23	4	1	6	0	0	0	13	0	2	50	3	17
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Polyneura;Polyneura latissima	12	6	20	1	3	7	18	0	92	16	26	3	11	4	0	0	23	25	1	13	5	14	65	1	17	3	17	6	121	12	7	19	15	4	1	20	22	9	0	14	1	1	11	19	8	22	66	2	6	1	0	6	45	0	38
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Pterosiphonia;Pterosiphonia bipinnata	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Mytilus	2	0	0	0	5	0	2	0	2	1	8	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	2	0	0	4	0	1	17	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	10	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Onuphidae;Diopatra;Diopatra cf. ornata JZ-2010	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	20	2	0	14	0	0	1	0	0	0	6	0	9	1	0	5	5	1	0	0	9	0	0	9	0	0	0	24	0	1	0	0	2	4	0	0	6	0	1
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia	0	0	0	1	1	0	1	0	1	2	4	0	0	0	0	1	3	2	0	1	4	0	13	0	1	5	0	0	0	2	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	11	0	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	1	1	0	2	0	1	0	0	7	0	0	0	2	0	0	3	0	0	0	0	1	3	0	0	2	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Protodorvillea;Protodorvillea gracilis	0	36	0	62	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	7	7	10	0	2	0	0	16	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	3	0	4
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella farcimen	0	5	1	0	3	0	14	1	5	1	137	0	7	0	0	0	16	2	2	11	6	2	5	1	9	0	10	0	5	0	2	11	16	1	0	0	11	1	0	9	0	0	11	8	1	2	0	0	5	1	0	0	7	0	3
