SECTION,NUMBER,ASSIGNED_NUMBER,ZONATION,ROCKWEED,ULVA,TURFWEED,SARGASSUM,TURKISH_WASHCLOTH,TURKISH_TOWEL,IRRIDESCENS,SUGAR,CCA,TAR,BROWN_OTHER,RED_OTHER,GREEN_OTHER,ENCRUSTING_OTHER,UNKNOWN
1,1,1,L,1,1,0,0,1,1,0,1,0,0,3,1,2,0,0
1,2,2,L,1,1,0,0,1,0,1,0,0,0,2,0,2,0,0
1,3,3,L,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
1,4,4,L,0,1,0,0,1,0,0,1,0,0,2,1,1,0,0
1,5,5,L,1,1,0,1,1,1,1,1,0,0,5,1,2,0,0
1,6,6,L,0,1,0,0,1,1,1,0,0,0,4,0,1,0,0
1,7,7,L,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0
1,8,8,L,0,1,0,1,1,1,1,0,0,0,4,1,1,0,0
1,9,9,L,0,1,0,1,1,1,0,0,0,0,3,0,1,0,0
1,10,10,L,1,1,0,1,1,1,0,0,0,0,3,0,2,0,0
1,11,11,M,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1,12,12,M,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0
1,13,13,M,1,1,0,1,1,1,0,0,0,0,3,0,2,0,0
1,14,14,M,1,1,0,1,1,0,0,0,0,0,2,0,2,0,0
1,15,15,M,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0
1,16,16,M,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0
1,17,17,M,1,1,0,0,1,0,1,0,0,0,2,0,2,0,0
1,18,18,M,0,1,0,0,1,0,1,0,0,0,2,0,1,0,0
1,19,19,U,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1,20,20,U,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,21,21,U,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,22,22,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,23,U,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,24,24,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,25,U,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
1,26,26,U,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,27,27,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,28,28,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,29,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,30,30,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,31,31,U,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,32,32,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,33,33,U,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,34,34,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,35,35,M,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0
1,36,36,M,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1,37,37,M,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,38,38,M,1,1,0,1,1,0,0,0,0,0,2,0,2,0,0
1,39,39,L,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1,40,40,L,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1,41,41,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,42,42,L,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0
1,43,43,L,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0
1,44,44,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,45,45,L,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,46,46,L,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,47,47,L,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,48,48,L,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
1,49,49,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
