group_code,site_code,marine_site_name,site_filename,marine_sort_order,marine_common_season,marine_season_code,survey_date,target_assemblage,species_code,quadrat_code,method_code,percent_cover,load_date
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,ACRSPP,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,ALAMAR,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,ANAJAP,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,ANTELE,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,ANTXAN,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,ARTCOR,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,BALCRE,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,BALGLA,1,LAY,8,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CALPIK,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CAUUST,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CHITON,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CHOCAN,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CHOSPI,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CHOSPP,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CHTBAL,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CHTDAL,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CLACOL,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,COLLEA,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,COLPOM,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CRAGIG,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CRUCOR,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CRYHYM,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CRYWOO,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,CUMAND,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DEABAL,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DEACHT,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DEACRA,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DEADCB,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DEAINV,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DEAMCA,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DEAMTR,1,LAY,6,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DEASEM,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DEATET,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DICSPP,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,DILCAL,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,EGRMEN,1,LAY,0,10/24/2023 14:53
UCSC,POP,Post Point,postpoint,3080,170,SU23,6/18/2023,chthamalus_balanus,EISARB,1,LAY,0,10/24/2023 14:53
