sample_id,site,collection_id,Latitude,Longitude
Yell_July18_Site1a_S83_R1_001.fastq.gz,One,1a,48.59317,-123.03023
Yell_July18_Site1b_S84_R1_001.fastq.gz,One,1b,48.59317,-123.03023
Yell_July18_Site1c_S85_R1_001.fastq.gz,One,1c,48.59317,-123.03023
Yell_July18_Site1d_S86_R1_001.fastq.gz,One,1d,48.59317,-123.03023
Yell_July18_Site5a_S87_R1_001.fastq.gz,Five,2a,48.59317,-123.03023
Yell_July18_Site5b_S88_R1_001.fastq.gz,Five,2b,48.59317,-123.03023
Yell_July18_Site5c_S89_R1_001.fastq.gz,Five,2c,48.59317,-123.03023
Yell_July18_Site5d_S90_R1_001.fastq.gz,Five,2d,48.59317,-123.03023
Yell_July18_Site1e_S91_R1_001.fastq.gz,One,3a,48.59317,-123.03023
Yell_July18_Site1f_S92_R1_001.fastq.gz,One,3b,48.59317,-123.03023
Yell_July18_Site1g_S93_R1_001.fastq.gz,One,3c,48.59317,-123.03023
Yell_July18_Site1h_S94_R1_001.fastq.gz,One,3d,48.59317,-123.03023
Yell_July18_Site5e_S95_R1_001.fastq.gz,Five,4a,48.59317,-123.03023
Yell_July18_Site5f_S96_R1_001.fastq.gz,Five,4b,48.59317,-123.03023
Yell_July18_Site5g_S97_R1_001.fastq.gz,Five,4c,48.59317,-123.03023
Yell_July18_Site5h_S98_R1_001.fastq.gz,Five,4d,48.59317,-123.03023
Yell_July18_Site1J_S99_R1_001.fastq.gz,One,5a,48.59317,-123.03023
Yell_July18_Site1k_S100_R1_001.fastq.gz,One,5b,48.59317,-123.03023
Yell_July18_Site1L_S101_R1_001.fastq.gz,One,5c,48.59317,-123.03023
Yell_July18_Site1m_S102_R1_001.fastq.gz,One,5d,48.59317,-123.03023
Yell_July18_Site1n_S103_R1_001.fastq.gz,One,6a,48.59317,-123.03023
Yell_July18_Site1o_S104_R1_001.fastq.gz,One,6b,48.59317,-123.03023
Yell_July18_Site1p_S105_R1_001.fastq.gz,One,6c,48.59317,-123.03023
Yell_July18_Site1q_S106_R1_001.fastq.gz,One,6d,48.59317,-123.03023
Yell_July18_Site5J_S107_R1_001.fastq.gz,Five,7a,48.59317,-123.03023
Yell_July18_Site5k_S108_R1_001.fastq.gz,Five,7b,48.59317,-123.03023
Yell_July18_Site5L_S109_R1_001.fastq.gz,Five,7c,48.59317,-123.03023
Yell_July18_Site5m_S110_R1_001.fastq.gz,Five,7d,48.59317,-123.03023
Yell_July18_Site1r_S111_R1_001.fastq.gz,One,8a,48.59317,-123.03023
Yell_July18_Site1s_S112_R1_001.fastq.gz,One,8b,48.59317,-123.03023
Yell_July18_Site1t_S113_R1_001.fastq.gz,One,9a,48.59317,-123.03023
Yell_July18_Site1U_S114_R1_001.fastq.gz,One,9b,48.59317,-123.03023
Yell_July18_Site5n_S115_R1_001.fastq.gz,Five,10a,48.59317,-123.03023
Yell_July18_Site5o_S116_R1_001.fastq.gz,Five,10b,48.59317,-123.03023
Yell_July18_Site1v_S117_R1_001.fastq.gz,One,11a,48.59317,-123.03023
Yell_July18_Site1w_S118_R1_001.fastq.gz,One,11b,48.59317,-123.03023
Yell_July18_Site1x_S119_R1_001.fastq.gz,One,12a,48.59317,-123.03023
Yell_July18_Site1y_S120_R1_001.fastq.gz,One,12b,48.59317,-123.03023
Yell_July18_Site5p_S121_R1_001.fastq.gz,Five,13a,48.59317,-123.03023
Yell_July18_Site5q_S122_R1_001.fastq.gz,Five,14a,48.59317,-123.03023
Yell_July18_Site5r_S123_R1_001.fastq.gz,Five,14b,48.59317,-123.03023
Yell_July18_Site5s_S124_R1_001.fastq.gz,Five,15a,48.59317,-123.03023
Yell_July18_Site5t_S125_R1_001.fastq.gz,Five,15b,48.59317,-123.03023
Yell_July18_Site5u_S126_R1_001.fastq.gz,Five,16a,48.59317,-123.03023
Yell_July18_Site5v_S127_R1_001.fastq.gz,Five,16b,48.59317,-123.03023
Yell_July18_Site5w_S128_R1_001.fastq.gz,One,17a,48.59317,-123.03023
Yell_July18_Site1z_S129_R1_001.fastq.gz,One,17b,48.59317,-123.03023
Yell_July18_Site1aa_S130_R1_001.fastq.gz,Five,18a,48.59317,-123.03023
Yell_July18_Site5z_S131_R1_001.fastq.gz,Five,18b,48.59317,-123.03023
Yell_July18_Site5aa_S132_R1_001.fastq.gz,Five,18c,48.59317,-123.03023
Yell_July18_Site5bb_S133_R1_001.fastq.gz,Five,18d,48.59317,-123.03023
Yell_July18_Site5cc_S134_R1_001.fastq.gz,Five,19a,48.59317,-123.03023
Yell_July18_Site5dd_S135_R1_001.fastq.gz,Five,19b,48.59317,-123.03023
Yell_July18_Site5ee_S136_R1_001.fastq.gz,Five,19c,48.59317,-123.03023
Yell_July18_Site5ff_S137_R1_001.fastq.gz,Five,19d,48.59317,-123.03023
Yell_July18_Site5gg_S138_R1_001.fastq.gz,One,20a,48.59317,-123.03023
Yell_July18_Site1bb_S139_R1_001.fastq.gz,One,20b,48.59317,-123.03023
Yell_July18_Site1cc_S140_R1_001.fastq.gz,One,20c,48.59317,-123.03023
Yell_July18_Site1dd_S141_R1_001.fastq.gz,One,20d,48.59317,-123.03023
Yell_July18_Site1ee_S142_R1_001.fastq.gz,control,0000x,48.59317,-123.03023
