"reads.in","reads.out"
221836,160981
0,0
158246,129701
167944,133093
128723,65173
356703,310330
175992,150472
322950,255877
30883,23810
222756,174422
295879,253391
207540,176801
73412,58908
8723,3317
116323,92225
50056,43106
167884,136395
241568,192560
208440,176343
1071180,571526
152346,119541
168168,145900
201215,165534
199887,139547
42930,35549
191758,164822
199881,96051
0,0
157509,129708
146455,122853
160579,136354
312141,244528
203100,165845
381082,320495
61812,44192
428264,306203
0,0
0,0
349213,303793
322086,271708
8751,2920
424471,287961
107782,92343
0,0
377307,318745
70,59
62184,49283
187718,155562
122031,106433
110863,90310
110248,83916
150791,126382
158574,126699
196462,167414
133845,106756
86986,72594
83172,67736
13,13
518860,412929
